orthographe	phonetique
rôderons	Rod@RN
rôderont	Rod@RN
rôdes	Rod
rôdeur	Rod9R
rôdeurs	Rod9R
rôdeuse	Rod2z
rôdeuses	Rod2z
rôdez	Rode
rôdiez	Rodje
rôdions	RodjN
rôdons	RodN
rôdâmes	Rodam
rôdât	Roda
rôdâtes	Rodat
rôdèrent	RodER
rôdé	Rode
rôdée	Rode
rôdées	Rode
rôdés	Rode
rôle	Rol
rôles	Rol
rôti	Roti
rôtie	Roti
rôties	Roti
rôtir	RotiR
rôtira	RotiRa
rôtirai	RotiRe
rôtiraient	RotiRE
rôtirais	RotiRE
rôtirait	RotiRE
rôtiras	RotiRa
rôtirent	RotiR
rôtirez	RotiRe
rôtiriez	RotiRje
rôtirions	RotiRjN
rôtirons	RotiRN
rôtiront	RotiRN
rôtis	Roti
rôtissaient	RotisE
rôtissais	RotisE
rôtissait	RotisE
rôtissant	RotisA
rôtisse	Rotis
rôtissent	Rotis
rôtisserie	ROtis@Ri
rôtisseries	ROtis@Ri
rôtisses	Rotis
rôtissez	Rotise
rôtissiez	Rotisje
rôtissions	RotisjN
rôtissons	RotisN
rôtit	Roti
rôtîmes	Rotim
rôtît	Roti
rôtîtes	Rotit
s'	s
sa	sa
sabbat	saba
sabbatique	sabatik
sabbatiques	sabatik
sabbats	saba
sabir	sabiR
sabirs	sabiR
sabla	sabla
sablai	sable
sablaient	sablE
sablais	sablE
sablait	sablE
sablant	sablA
sablas	sabla
sablasse	sablas
sablassent	sablas
sablasses	sablas
sablassiez	sablasje
sablassions	sablasjN
sable	sabl
sablent	sabl
sabler	sable
sablera	sabl@Ra
sablerai	sabl@Re
sableraient	sabl@RE
sablerais	sabl@RE
sablerait	sabl@RE
sableras	sabl@Ra
sablerez	sabl@Re
sableriez	sabl@Rje
sablerions	sabl@RjN
sablerons	sabl@RN
sableront	sabl@RN
sables	sabl
sableuse	sabl2z
sableuses	sabl2z
sableux	sabl2
sablez	sable
sablier	sablije
sabliers	sablije
sabliez	sablije
sablions	sablijN
sablière	sablijER
sablières	sablijER
sablonneuse	sablOn2z
sablonneuses	sablOn2z
sablonneux	sablOn2
sablons	sablN
sablâmes	sablam
sablât	sabla
sablâtes	sablat
sablèrent	sablER
sablé	sable
sablée	sable
sablées	sable
sablés	sable
saborda	sabORda
sabordage	sabORdaZ
sabordages	sabORdaZ
sabordai	sabORde
sabordaient	sabORdE
sabordais	sabORdE
sabordait	sabORdE
sabordant	sabORdA
sabordas	sabORda
sabordasse	sabORdas
sabordassent	sabORdas
sabordasses	sabORdas
sabordassiez	sabORdasje
sabordassions	sabORdasjN
saborde	sabORd
sabordent	sabORd
saborder	sabORde
sabordera	sabORd@Ra
saborderai	sabORd@Re
saborderaient	sabORd@RE
saborderais	sabORd@RE
saborderait	sabORd@RE
saborderas	sabORd@Ra
saborderez	sabORd@Re
saborderiez	sabORd@Rje
saborderions	sabORd@RjN
saborderons	sabORd@RN
saborderont	sabORd@RN
sabordes	sabORd
sabordez	sabORde
sabordiez	sabORdje
sabordions	sabORdjN
sabordons	sabORdN
sabordâmes	sabORdam
sabordât	sabORda
sabordâtes	sabORdat
sabordèrent	sabORdER
sabordé	sabORde
sabordée	sabORde
sabordées	sabORde
sabordés	sabORde
sabot	sabo
sabota	sabOta
sabotage	sabOtaZ
sabotages	sabOtaZ
sabotai	sabOte
sabotaient	sabOtE
sabotais	sabOtE
sabotait	sabOtE
sabotant	sabOtA
sabotas	sabOta
sabotasse	sabOtas
sabotassent	sabOtas
sabotasses	sabOtas
sabotassiez	sabOtasje
sabotassions	sabOtasjN
sabote	sabOt
sabotent	sabOt
saboter	sabOte
sabotera	sabOt@Ra
saboterai	sabOt@Re
saboteraient	sabOt@RE
saboterais	sabOt@RE
saboterait	sabOt@RE
saboteras	sabOt@Ra
saboterez	sabOt@Re
saboteriez	sabOt@Rje
saboterions	sabOt@RjN
saboterons	sabOt@RN
saboteront	sabOt@RN
sabotes	sabOt
saboteur	sabOt9R
saboteurs	sabOt9R
saboteuse	sabOt2z
saboteuses	sabOt2z
sabotez	sabOte
sabotiez	sabOtje
sabotions	sabOtjN
sabotons	sabOtN
sabots	sabo
sabotâmes	sabOtam
sabotât	sabOta
sabotâtes	sabOtat
sabotèrent	sabOtER
saboté	sabOte
sabotée	sabOte
sabotées	sabOte
sabotés	sabOte
sabre	sabR
sabres	sabR
sac	sak
saccade	sakad
saccades	sakad
saccadé	sakade
saccadée	sakade
saccadées	sakade
saccadés	sakade
saccage	sakaZ
saccagea	sakaZa
saccageai	sakaZe
saccageaient	sakaZE
saccageais	sakaZE
saccageait	sakaZE
saccageant	sakaZA
saccageas	sakaZa
saccageasse	sakaZas
saccageassent	sakaZas
saccageasses	sakaZas
saccageassiez	sakaZasje
saccageassions	sakaZasjN
saccagent	sakaZ
saccageons	sakaZN
saccager	sakaZe
saccagera	sakaZ@Ra
saccagerai	sakaZ@Re
saccageraient	sakaZ@RE
saccagerais	sakaZ@RE
saccagerait	sakaZ@RE
saccageras	sakaZ@Ra
saccagerez	sakaZ@Re
saccageriez	sakaZ@Rje
saccagerions	sakaZ@RjN
saccagerons	sakaZ@RN
saccageront	sakaZ@RN
saccages	sakaZ
saccagez	sakaZe
saccageâmes	sakaZam
saccageât	sakaZa
saccageâtes	sakaZat
saccagiez	sakaZje
saccagions	sakaZjN
saccagèrent	sakaZER
saccagé	sakaZe
saccagée	sakaZe
saccagées	sakaZe
saccagés	sakaZe
saccharine	sakaRin
saccharines	sakaRin
sacerdoce	sasERdOs
sacerdoces	sasERdOs
sacerdotal	sasERdOtal
sacerdotale	sasERdOtal
sacerdotales	sasERdOtal
sacerdotaux	sasERdOto
sachant	saSA
sache	saS
sachent	saS
saches	saS
sachet	saSE
sachets	saSE
sachez	saSe
sachiez	saSje
sachions	saSjN
sachons	saSN
sacoche	sakOS
sacoches	sakOS
sacra	sakRa
sacrai	sakRe
sacraient	sakRE
sacrais	sakRE
sacrait	sakRE
sacrant	sakRA
sacras	sakRa
sacrasse	sakRas
sacrassent	sakRas
sacrasses	sakRas
sacrassiez	sakRasje
sacrassions	sakRasjN
sacre	sakR
sacrebleu	sakR@bl2
sacrement	sakR@mA
sacrements	sakR@mA
sacrent	sakR
sacrer	sakRe
sacrera	sakR@Ra
sacrerai	sakR@Re
sacreraient	sakR@RE
sacrerais	sakR@RE
sacrerait	sakR@RE
sacreras	sakR@Ra
sacrerez	sakR@Re
sacreriez	sakR@Rje
sacrerions	sakR@RjN
sacrerons	sakR@RN
sacreront	sakR@RN
sacres	sakR
sacrez	sakRe
sacriez	sakRije
sacrifia	sakRifja
sacrifiai	sakRifje
sacrifiaient	sakRifjE
sacrifiais	sakRifjE
sacrifiait	sakRifjE
sacrifiant	sakRifjA
sacrifias	sakRifja
sacrifiasse	sakRifjas
sacrifiassent	sakRifjas
sacrifiasses	sakRifjas
sacrifiassiez	sakRifjasje
sacrifiassions	sakRifjasjN
sacrifice	sakRifis
sacrifices	sakRifis
sacrifie	sakRifi
sacrifient	sakRifi
sacrifier	sakRifje
sacrifiera	sakRifiRa
sacrifierai	sakRifiRe
sacrifieraient	sakRifiRE
sacrifierais	sakRifiRE
sacrifierait	sakRifiRE
sacrifieras	sakRifiRa
sacrifierez	sakRifiRe
sacrifieriez	sakRifiRje
sacrifierions	sakRifiRjN
sacrifierons	sakRifiRN
sacrifieront	sakRifiRN
sacrifies	sakRifi
sacrifiez	sakRifje
sacrifiiez	sakRifije
sacrifiions	sakRifijN
sacrifions	sakRifjN
sacrifiâmes	sakRifjam
sacrifiât	sakRifja
sacrifiâtes	sakRifjat
sacrifièrent	sakRifjER
sacrifié	sakRifje
sacrifiée	sakRifje
sacrifiées	sakRifje
sacrifiés	sakRifje
sacrilège	sakRilEZ
sacrilèges	sakRilEZ
sacrions	sakRijN
sacristain	sakRiste~
sacristains	sakRiste~
sacristie	sakRisti
sacristies	sakRisti
sacro-saint	sakROse~
sacro-sainte	sakROse~t
sacro-saintes	sakROse~t
sacro-saints	sakROse~
sacrons	sakRN
sacrâmes	sakRam
sacrât	sakRa
sacrâtes	sakRat
sacrèrent	sakRER
sacré	sakRe
sacrée	sakRe
sacrées	sakRe
sacrément	sakRemA
sacrés	sakRe
sacs	sak
sadique	sadik
sadiquement	sadik@mA
sadiques	sadik
sadisme	sadism
sadismes	sadism
safari	safaRi
safari-photo	safaRifoto
safaris	safaRi
safaris-photos	safaRifoto
safran	safRA
safrans	safRA
saga	saga
sagace	sagas
sagacement	sagas@mA
sagaces	sagas
sagacité	sagasite
sagacités	sagasite
sagaie	sagE
sagaies	sagE
sagas	saga
sage	saZ
sage-femme	saZfam
sagement	saZ@mA
sages	saZ
sages-femmes	saZfam
sagesse	saZEs
sagesses	saZEs
sagou	sagu
sagous	sagu
saharienne	saaRjEn
sahariennes	saaRjEn
saigna	senja
saignai	senje
saignaient	senjE
saignais	senjE
saignait	senjE
saignant	senjA
saignante	sEnjAt
saignantes	sEnjAt
saignants	sEnjA
saignas	senja
saignasse	senjas
saignassent	senjas
saignasses	senjas
saignassiez	senjasje
saignassions	senjasjN
saigne	sEnj
saignement	sEnj@mA
saignements	sEnj@mA
saignent	sEnj
saigner	senje
saignera	senj@Ra
saignerai	senj@Re
saigneraient	senj@RE
saignerais	senj@RE
saignerait	senj@RE
saigneras	senj@Ra
saignerez	senj@Re
saigneriez	senj@Rje
saignerions	senj@RjN
saignerons	senj@RN
saigneront	senj@RN
saignes	sEnj
saignez	senje
saigniez	senjije
saignions	senjijN
saignons	senjN
saignâmes	senjam
saignât	senja
saignâtes	senjat
saignèrent	senjER
saigné	senje
saignée	senje
saignées	senje
saignés	senje
saillaient	sajE
saillais	sajE
saillait	sajE
saillant	sajA
saillante	sajAt
saillantes	sajAt
saillants	sajA
saille	saj
saillent	saj
sailles	saj
saillez	saje
sailli	saji
saillie	saji
saillies	saji
sailliez	sajie
saillions	sajiN
saillir	sajiR
saillira	sajiRa
saillirai	sajiRe
sailliraient	sajiRE
saillirais	sajiRE
saillirait	sajiRE
sailliras	sajiRa
saillirent	sajiR
saillirez	sajiRe
sailliriez	sajiRje
saillirions	sajiRjN
saillirons	sajiRN
sailliront	sajiRN
saillis	saji
saillisse	sajis
saillissent	sajis
saillisses	sajis
saillissiez	sajisje
saillissions	sajisjN
saillit	saji
saillons	sajN
saillîmes	sajim
saillît	saji
saillîtes	sajit
sain	se~
saindoux	se~du
saine	sEn
sainement	sEn@mA
saines	sEn
sains	se~
saint	se~
sainte	se~t
saintes	se~t
sainteté	se~t@te
saintetés	se~t@te
saints	se~
sais	sE
saisi	sezi
saisie	sezi
saisies	sezi
saisir	seziR
saisira	seziRa
saisirai	seziRe
saisiraient	seziRE
saisirais	seziRE
saisirait	seziRE
saisiras	seziRa
saisirent	seziR
saisirez	seziRe
saisiriez	seziRje
saisirions	seziRjN
saisirons	seziRN
saisiront	seziRN
saisis	sezi
saisissable	sezisabl
saisissables	sezisabl
saisissaient	sezisE
saisissais	sezisE
saisissait	sezisE
saisissant	sezisA
saisissante	sezisAt
saisissantes	sezisAt
saisissants	sezisA
saisisse	sezis
saisissement	sezis@mA
saisissements	sezis@mA
saisissent	sezis
saisisses	sezis
saisissez	sezise
saisissiez	sezisje
saisissions	sezisjN
saisissons	sezisN
saisit	sezi
saison	sEzN
saisonnier	sEzOnje
saisonniers	sEzOnje
saisonnière	sEzOnjER
saisonnières	sEzOnjER
saisons	sEzN
saisîmes	sEzim
saisît	sEzi
saisîtes	sEzit
sait	sE
sala	sala
salace	salas
salaces	salas
salade	salad
salades	salad
saladier	saladje
saladiers	saladje
salai	sale
salaient	salE
salaire	salER
salaires	salER
salais	salE
salaison	salEzN
salaisons	salEzN
salait	salE
salami	salami
salamis	salami
salant	salA
salarial	salaRjal
salariale	salaRjal
salariales	salaRjal
salariat	salaRja
salariats	salaRja
salariaux	salaRjo
salarié	salaRje
salariée	salaRje
salariées	salaRje
salariés	salaRje
salas	sala
salasse	salas
salassent	salas
salasses	salas
salassiez	salasje
salassions	salasjN
salaud	salo
salauds	salo
sale	sal
salement	sal@mA
salent	sal
saler	sale
salera	sal@Ra
salerai	sal@Re
saleraient	sal@RE
salerais	sal@RE
salerait	sal@RE
saleras	sal@Ra
salerez	sal@Re
saleriez	sal@Rje
salerions	sal@RjN
salerons	sal@RN
saleront	sal@RN
sales	sal
saleté	sal@te
saletés	sal@te
salez	sale
sali	sali
salie	sali
salies	sali
saliez	salje
saligaud	saligo
saligauds	saligo
salin	sale~
saline	salin
salines	salin
salinisation	salinizasjN
salinisations	salinizasjN
salinité	salinite
salinités	salinite
salins	sale~
salions	saljN
salir	saliR
salira	saliRa
salirai	saliRe
saliraient	saliRE
salirais	saliRE
salirait	saliRE
saliras	saliRa
salirent	saliR
salirez	saliRe
saliriez	saliRje
salirions	saliRjN
salirons	saliRN
saliront	saliRN
salis	sali
salissaient	salisE
salissais	salisE
salissait	salisE
salissant	salisA
salissante	salisAt
salissantes	salisAt
salissants	salisA
salisse	salis
salissent	salis
salisses	salis
salissez	salise
salissiez	salisje
salissions	salisjN
salissons	salisN
salissure	salisyR
salissures	salisyR
salit	sali
saliva	saliva
salivai	salive
salivaient	salivE
salivais	salivE
salivait	salivE
salivant	salivA
salivas	saliva
salivasse	salivas
salivassent	salivas
salivasses	salivas
salivassiez	salivasje
salivassions	salivasjN
salive	saliv
salivent	saliv
saliver	salive
salivera	saliv@Ra
saliverai	saliv@Re
saliveraient	saliv@RE
saliverais	saliv@RE
saliverait	saliv@RE
saliveras	saliv@Ra
saliverez	saliv@Re
saliveriez	saliv@Rje
saliverions	saliv@RjN
saliverons	saliv@RN
saliveront	saliv@RN
salives	saliv
salivez	salive
saliviez	salivje
salivions	salivjN
salivons	salivN
salivâmes	salivam
salivât	saliva
salivâtes	salivat
salivèrent	salivER
salivé	salive
salivée	salive
salivées	salive
salivés	salive
salière	saljER
salières	saljER
salle	sal
salles	sal
salmonelle	salmonEl
salmonelles	salmonEl
salmonellose	salmOneloz
salmonelloses	salmOneloz
salon	salN
salons	salN
salopard	salOpaR
salopards	salOpaR
salope	salOp
saloperie	salOp@Ri
saloperies	salOp@Ri
salopes	salOp
salopette	salOpEt
salopettes	salOpEt
salpêtre	salpEtR
salpêtres	salpEtR
salsifis	salsifi
saltimbanque	salte~bAk
saltimbanques	salte~bAk
salua	salHa
saluai	salHe
saluaient	salHE
saluais	salHE
saluait	salHE
saluant	salHA
saluas	salHa
saluasse	salHas
saluassent	salHas
saluasses	salHas
saluassiez	salHasje
saluassions	salHasjN
salubre	salybR
salubrement	salybR@mA
salubres	salybR
salubrité	salybRite
salubrités	salybRite
salue	saly
saluent	saly
saluer	salHe
saluera	salyRa
saluerai	salyRe
salueraient	salyRE
saluerais	salyRE
saluerait	salyRE
salueras	salyRa
saluerez	salyRe
salueriez	salyRje
saluerions	salyRjN
saluerons	salyRN
salueront	salyRN
salues	saly
saluez	salHe
saluiez	salyje
saluions	salyjN
saluons	salHN
salut	saly
salutaire	salytER
salutairement	salytER@mA
salutaires	salytER
salutation	salytasjN
salutations	salytasjN
salutiste	salytist
salutistes	salytist
saluts	saly
saluâmes	salHam
saluât	salHa
saluâtes	salHat
saluèrent	salHER
salué	salHe
saluée	salHe
saluées	salHe
salués	salHe
salvadorien	salvadORje~
salvadorienne	salvadORjEn
salvadoriennes	salvadORjEn
salvadoriens	salvadORje~
salvateur	salvat9R
salvateurs	salvat9R
salvatrice	salvatRis
salvatrices	salvatRis
salve	salv
salves	salv
salâmes	salam
salât	sala
salâtes	salat
salèrent	salER
salé	sale
salée	sale
salées	sale
salés	sale
salîmes	salim
salît	sali
salîtes	salit
samedi	sam@di
samedis	sam@di
sanatorium	sanatORjOm
sanatoriums	sanatORjOm
sanctifia	sAktifja
sanctifiai	sAktifje
sanctifiaient	sAktifjE
sanctifiais	sAktifjE
sanctifiait	sAktifjE
sanctifiant	sAktifjA
sanctifias	sAktifja
sanctifiasse	sAktifjas
sanctifiassent	sAktifjas
sanctifiasses	sAktifjas
sanctifiassiez	sAktifjasje
sanctifiassions	sAktifjasjN
sanctifie	sAktifi
sanctifient	sAktifi
sanctifier	sAktifje
sanctifiera	sAktifiRa
sanctifierai	sAktifiRe
sanctifieraient	sAktifiRE
sanctifierais	sAktifiRE
sanctifierait	sAktifiRE
sanctifieras	sAktifiRa
sanctifierez	sAktifiRe
sanctifieriez	sAktifiRje
sanctifierions	sAktifiRjN
sanctifierons	sAktifiRN
sanctifieront	sAktifiRN
sanctifies	sAktifi
sanctifiez	sAktifje
sanctifiiez	sAktifije
sanctifiions	sAktifijN
sanctifions	sAktifjN
sanctifiâmes	sAktifjam
sanctifiât	sAktifja
sanctifiâtes	sAktifjat
sanctifièrent	sAktifjER
sanctifié	sAktifje
sanctifiée	sAktifje
sanctifiées	sAktifje
sanctifiés	sAktifje
sanction	sAksjN
sanctionna	sAksjOna
sanctionnai	sAksjOne
sanctionnaient	sAksjOnE
sanctionnais	sAksjOnE
sanctionnait	sAksjOnE
sanctionnant	sAksjOnA
sanctionnas	sAksjOna
sanctionnasse	sAksjOnas
sanctionnassent	sAksjOnas
sanctionnasses	sAksjOnas
sanctionnassiez	sAksjOnasje
sanctionnassions	sAksjOnasjN
sanctionne	sAksjOn
sanctionnent	sAksjOn
sanctionner	sAksjOne
sanctionnera	sAksjOn@Ra
sanctionnerai	sAksjOn@Re
sanctionneraient	sAksjOn@RE
sanctionnerais	sAksjOn@RE
sanctionnerait	sAksjOn@RE
sanctionneras	sAksjOn@Ra
sanctionnerez	sAksjOn@Re
sanctionneriez	sAksjOn@Rje
sanctionnerions	sAksjOn@RjN
sanctionnerons	sAksjOn@RN
sanctionneront	sAksjOn@RN
sanctionnes	sAksjOn
sanctionnez	sAksjOne
sanctionniez	sAksjOnje
sanctionnions	sAksjOnjN
sanctionnons	sAksjOnN
sanctionnâmes	sAksjOnam
sanctionnât	sAksjOna
sanctionnâtes	sAksjOnat
sanctionnèrent	sAksjOnER
sanctionné	sAksjOne
sanctionnée	sAksjOne
sanctionnées	sAksjOne
sanctionnés	sAksjOne
sanctions	sAksjN
sanctuaire	sAktHER
sanctuaires	sAktHER
sanctuarisation	sAktHaRizasjN
sanctuarisations	sAktHaRizasjN
sandale	sAdal
sandales	sAdal
sandalette	sAdalEt
sandalettes	sAdalEt
sandwich	sAdwitS
sandwicherie	sAdwitS@Ri
sandwicheries	sAdwitS@Ri
sandwichs	sAdwitS
sang	sA
sang-froid	sAfRwa
sang-froids	sAfRwa
sangla	sAgla
sanglai	sAgle
sanglaient	sAglE
sanglais	sAglE
sanglait	sAglE
sanglant	sAglA
sanglante	sAglAt
sanglantes	sAglAt
sanglants	sAglA
sanglas	sAgla
sanglasse	sAglas
sanglassent	sAglas
sanglasses	sAglas
sanglassiez	sAglasje
sanglassions	sAglasjN
sangle	sAgl
sanglent	sAgl
sangler	sAgle
sanglera	sAgl@Ra
sanglerai	sAgl@Re
sangleraient	sAgl@RE
sanglerais	sAgl@RE
sanglerait	sAgl@RE
sangleras	sAgl@Ra
sanglerez	sAgl@Re
sangleriez	sAgl@Rje
sanglerions	sAgl@RjN
sanglerons	sAgl@RN
sangleront	sAgl@RN
sangles	sAgl
sanglez	sAgle
sanglier	sAglije
sangliers	sAglije
sangliez	sAglije
sanglions	sAglijN
sanglons	sAglN
sanglot	sAglo
sanglota	sAglOta
sanglotai	sAglOte
sanglotaient	sAglOtE
sanglotais	sAglOtE
sanglotait	sAglOtE
sanglotant	sAglOtA
sanglotas	sAglOta
sanglotasse	sAglOtas
sanglotassent	sAglOtas
sanglotasses	sAglOtas
sanglotassiez	sAglOtasje
sanglotassions	sAglOtasjN
sanglote	sAglOt
sanglotent	sAglOt
sangloter	sAglOte
sanglotera	sAglOt@Ra
sangloterai	sAglOt@Re
sangloteraient	sAglOt@RE
sangloterais	sAglOt@RE
sangloterait	sAglOt@RE
sangloteras	sAglOt@Ra
sangloterez	sAglOt@Re
sangloteriez	sAglOt@Rje
sangloterions	sAglOt@RjN
sangloterons	sAglOt@RN
sangloteront	sAglOt@RN
sanglotes	sAglOt
sanglotez	sAglOte
sanglotiez	sAglOtje
sanglotions	sAglOtjN
sanglotons	sAglOtN
sanglots	sAglo
sanglotâmes	sAglOtam
sanglotât	sAglOta
sanglotâtes	sAglOtat
sanglotèrent	sAglOtER
sangloté	sAglOte
sanglotée	sAglOte
sanglotées	sAglOte
sanglotés	sAglOte
sanglâmes	sAglam
sanglât	sAgla
sanglâtes	sAglat
sanglèrent	sAglER
sanglé	sAgle
sanglée	sAgle
sanglées	sAgle
sanglés	sAgle
sangs	sA
sangsue	sAsy
sangsues	sAsy
sanguin	sAge~
sanguinaire	sAginER
sanguinaires	sAginER
sanguine	sAgin
sanguines	sAgin
sanguinolent	sAginOlA
sanguinolente	sAginOlAt
sanguinolentes	sAginOlAt
sanguinolents	sAginOlA
sanguins	sAge~
sanitaire	sanitER
sanitaires	sanitER
sans	sA
sans-coeur	sAk9R
sans-emploi	sAzAplwa
sans-façon	sAfasN
sans-gêne	sAZEn
sans-travail	sAtRavaj
santal	sAtal
santals	sAtal
santé	sAte
santés	sAte
saoudien	saudje~
saoudienne	saudjEn
saoudiennes	saudjEn
saoudiens	saudje~
saoul	sul
saoule	sul
saoules	sul
saouls	sul
sapa	sapa
sapai	sape
sapaient	sapE
sapais	sapE
sapait	sapE
sapant	sapA
sapas	sapa
sapasse	sapas
sapassent	sapas
sapasses	sapas
sapassiez	sapasje
sapassions	sapasjN
sape	sap
sapent	sap
saper	sape
sapera	sap@Ra
saperai	sap@Re
saperaient	sap@RE
saperais	sap@RE
saperait	sap@RE
saperas	sap@Ra
saperez	sap@Re
saperiez	sap@Rje
saperions	sap@RjN
saperlipopette	sapERlipOpEt
saperlotte	sapERlOt
saperons	sap@RN
saperont	sap@RN
sapes	sap
sapeur	sap9R
sapeur-pompier	sap9RpNpje
sapeurs	sap9R
sapeurs-pompiers	sap9RpNpje
sapez	sape
saphir	safiR
saphirs	safiR
sapiez	sapje
sapin	sape~
sapins	sape~
sapions	sapjN
sapons	sapN
sapristi	sapRisti
sapâmes	sapam
sapât	sapa
sapâtes	sapat
sapèrent	sapER
sapé	sape
sapée	sape
sapées	sape
sapés	sape
sarabande	saRabAd
sarabandes	saRabAd
sarbacane	saRbakan
sarbacanes	saRbakan
sarcasme	saRkasm
sarcasmes	saRkasm
sarcastique	saRkastik
sarcastiquement	saRkastik@mA
sarcastiques	saRkastik
sarcla	saRkla
sarclai	saRkle
sarclaient	saRklE
sarclais	saRklE
sarclait	saRklE
sarclant	saRklA
sarclas	saRkla
sarclasse	saRklas
sarclassent	saRklas
sarclasses	saRklas
sarclassiez	saRklasje
sarclassions	saRklasjN
sarcle	saRkl
sarclent	saRkl
sarcler	saRkle
sarclera	saRkl@Ra
sarclerai	saRkl@Re
sarcleraient	saRkl@RE
sarclerais	saRkl@RE
sarclerait	saRkl@RE
sarcleras	saRkl@Ra
sarclerez	saRkl@Re
sarcleriez	saRkl@Rje
sarclerions	saRkl@RjN
sarclerons	saRkl@RN
sarcleront	saRkl@RN
sarcles	saRkl
sarclez	saRkle
sarcliez	saRklije
sarclions	saRklijN
sarcloir	saRklwaR
sarcloirs	saRklwaR
sarclons	saRklN
sarclâmes	saRklam
sarclât	saRkla
sarclâtes	saRklat
sarclèrent	saRklER
sarclé	saRkle
sarclée	saRkle
sarclées	saRkle
sarclés	saRkle
sarcophage	saRkOfaZ
sarcophages	saRkOfaZ
sardine	saRdin
sardines	saRdin
sardonique	saRdOnik
sardoniquement	saRdOnik@mA
sardoniques	saRdOnik
sarrasin	saRaze~
sarrasins	saRaze~
sarrau	saRo
sarraus	saRo
sarriette	saRjEt
sarriettes	saRjEt
sarrois	saRwa
sarroise	saRwaz
sarroises	saRwaz
sas	sas
satanique	satanik
sataniquement	satanik@mA
sataniques	satanik
satanisme	satanism
satanismes	satanism
satané	satane
satanée	satane
satanées	satane
satanés	satane
satellisa	sateliza
satellisai	satelize
satellisaient	satelizE
satellisais	satelizE
satellisait	satelizE
satellisant	satelizA
satellisas	sateliza
satellisasse	satelizas
satellisassent	satElizas
satellisasses	satelizas
satellisassiez	satelizasje
satellisassions	satelizasjN
satellisation	satelizasjN
satellisations	satelizasjN
satellise	sateliz
satellisent	sateliz
satelliser	satelize
satellisera	sateliz@Ra
satelliserai	sateliz@Re
satelliseraient	sateliz@RE
satelliserais	sateliz@RE
satelliserait	sateliz@RE
satelliseras	sateliz@Ra
satelliserez	sateliz@Re
satelliseriez	sateliz@Rje
satelliserions	sateliz@RjN
satelliserons	sateliz@RN
satelliseront	sateliz@RN
satellises	sateliz
satellisez	satelize
satellisiez	satelizje
satellisions	satelizjN
satellisons	satelizN
satellisâmes	satelizam
satellisât	sateliza
satellisâtes	satelizat
satellisèrent	satelizER
satellisé	satelize
satellisée	satelize
satellisées	satelize
satellisés	satelize
satellite	satelit
satellite-espion	satElitEspjN
satellites	satelit
satellites-espions	satElitzEspjN
satin	sate~
satins	sate~
satiné	satine
satinée	satine
satinées	satine
satinés	satine
satire	satiR
satires	satiR
satirique	satiRik
satiriquement	satiRik@mA
satiriques	satiRik
satirisa	satiRiza
satirisai	satiRize
satirisaient	satiRizE
satirisais	satiRizE
satirisait	satiRizE
satirisant	satiRizA
satirisas	satiRiza
satirisasse	satiRizas
satirisassent	satiRizas
satirisasses	satiRizas
satirisassiez	satiRizasje
satirisassions	satiRizasjN
satirise	satiRiz
satirisent	satiRiz
satiriser	satiRize
satirisera	satiRiz@Ra
satiriserai	satiRiz@Re
satiriseraient	satiRiz@RE
satiriserais	satiRiz@RE
satiriserait	satiRiz@RE
satiriseras	satiRiz@Ra
satiriserez	satiRiz@Re
satiriseriez	satiRiz@Rje
satiriserions	satiRiz@RjN
satiriserons	satiRiz@RN
satiriseront	satiRiz@RN
satirises	satiRiz
satirisez	satiRize
satirisiez	satiRizje
satirisions	satiRizjN
satirisons	satiRizN
satirisâmes	satiRizam
satirisât	satiRiza
satirisâtes	satiRizat
satirisèrent	satiRizER
satirisé	satiRize
satirisée	satiRize
satirisées	satiRize
satirisés	satiRize
satisfaction	satisfaksjN
satisfactions	satisfaksjN
satisfaire	satisfER
satisfais	satisfE
satisfaisaient	satisf2zE
satisfaisais	satisf2zE
satisfaisait	satisf2zE
satisfaisant	satisf@zA
satisfaisante	satisf@zAt
satisfaisantes	satisf@zAt
satisfaisants	satisf@zA
satisfaisent	satisfEz
satisfaisez	satisfEze
satisfaisiez	satisf2zje
satisfaisions	satisf2zjN
satisfaisons	satisf2zN
satisfait	satisfE
satisfaite	satisfEt
satisfaites	satisfEt
satisfaits	satisfE
satisfasse	satisfas
satisfassent	satisfas
satisfasses	satisfas
satisfassiez	satisfasje
satisfassions	satisfasjN
satisfera	satisf@Ra
satisferai	satisf@Re
satisferaient	satisf@RE
satisferais	satisf@RE
satisferait	satisf@RE
satisferas	satisf@Ra
satisferez	satisf@Re
satisferiez	satisf@Rje
satisferions	satisf@RjN
satisferons	satisf@RN
satisferont	satisf@RN
satisfirent	satisfiR
satisfis	satisfi
satisfisse	satisfis
satisfissent	satisfis
satisfisses	satisfis
satisfissiez	satisfisje
satisfissions	satisfisjN
satisfit	satisfi
satisfîmes	satisfim
satisfît	satisfi
satisfîtes	satisfit
satiété	sasjete
satiétés	sasjete
satura	satyRa
saturai	satyRe
saturaient	satyRE
saturais	satyRE
saturait	satyRE
saturant	satyRA
saturas	satyRa
saturasse	satyRas
saturassent	satyRas
saturasses	satyRas
saturassiez	satyRasje
saturassions	satyRasjN
saturation	satyRasjN
saturations	satyRasjN
sature	satyR
saturent	satyR
saturer	satyRe
saturera	satyR@Ra
saturerai	satyR@Re
satureraient	satyR@RE
